Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Wind power generation - hourly data
2018-01-08 01:00:00,2018-01-08 02:00:00,2018-01-08 04:00:00,2018-01-08 05:00:00,1262.0
2018-01-08 02:00:00,2018-01-08 03:00:00,2018-01-08 05:00:00,2018-01-08 06:00:00,1213.0
2018-01-08 03:00:00,2018-01-08 04:00:00,2018-01-08 06:00:00,2018-01-08 07:00:00,1264.0
2018-01-08 04:00:00,2018-01-08 05:00:00,2018-01-08 07:00:00,2018-01-08 08:00:00,1279.0
2018-01-08 05:00:00,2018-01-08 06:00:00,2018-01-08 08:00:00,2018-01-08 09:00:00,1317.0
2018-01-08 06:00:00,2018-01-08 07:00:00,2018-01-08 09:00:00,2018-01-08 10:00:00,1336.0
2018-01-08 07:00:00,2018-01-08 08:00:00,2018-01-08 10:00:00,2018-01-08 11:00:00,1332.0
2018-01-08 08:00:00,2018-01-08 09:00:00,2018-01-08 11:00:00,2018-01-08 12:00:00,1317.0
2018-01-08 09:00:00,2018-01-08 10:00:00,2018-01-08 12:00:00,2018-01-08 13:00:00,1267.0
2018-01-08 10:00:00,2018-01-08 11:00:00,2018-01-08 13:00:00,2018-01-08 14:00:00,1235.0
2018-01-08 11:00:00,2018-01-08 12:00:00,2018-01-08 14:00:00,2018-01-08 15:00:00,1309.0
2018-01-08 12:00:00,2018-01-08 13:00:00,2018-01-08 15:00:00,2018-01-08 16:00:00,1278.0
2018-01-08 13:00:00,2018-01-08 14:00:00,2018-01-08 16:00:00,2018-01-08 17:00:00,1190.0
2018-01-08 14:00:00,2018-01-08 15:00:00,2018-01-08 17:00:00,2018-01-08 18:00:00,1190.0
2018-01-08 15:00:00,2018-01-08 16:00:00,2018-01-08 18:00:00,2018-01-08 19:00:00,1122.0
2018-01-08 16:00:00,2018-01-08 17:00:00,2018-01-08 19:00:00,2018-01-08 20:00:00,1026.0
2018-01-08 17:00:00,2018-01-08 18:00:00,2018-01-08 20:00:00,2018-01-08 21:00:00,1062.0
2018-01-08 18:00:00,2018-01-08 19:00:00,2018-01-08 21:00:00,2018-01-08 22:00:00,1060.0
2018-01-08 19:00:00,2018-01-08 20:00:00,2018-01-08 22:00:00,2018-01-08 23:00:00,1045.0
2018-01-08 20:00:00,2018-01-08 21:00:00,2018-01-08 23:00:00,2018-01-09 00:00:00,990.0
2018-01-08 21:00:00,2018-01-08 22:00:00,2018-01-09 00:00:00,2018-01-09 01:00:00,971.0
2018-01-08 22:00:00,2018-01-08 23:00:00,2018-01-09 01:00:00,2018-01-09 02:00:00,998.0
2018-01-08 23:00:00,2018-01-09 00:00:00,2018-01-09 02:00:00,2018-01-09 03:00:00,988.0
2018-01-09 00:00:00,2018-01-09 01:00:00,2018-01-09 03:00:00,2018-01-09 04:00:00,903.0
2018-01-09 01:00:00,2018-01-09 02:00:00,2018-01-09 04:00:00,2018-01-09 05:00:00,904.0
2018-01-09 02:00:00,2018-01-09 03:00:00,2018-01-09 05:00:00,2018-01-09 06:00:00,858.0
2018-01-09 03:00:00,2018-01-09 04:00:00,2018-01-09 06:00:00,2018-01-09 07:00:00,737.0
2018-01-09 04:00:00,2018-01-09 05:00:00,2018-01-09 07:00:00,2018-01-09 08:00:00,697.0
2018-01-09 05:00:00,2018-01-09 06:00:00,2018-01-09 08:00:00,2018-01-09 09:00:00,605.0
2018-01-09 06:00:00,2018-01-09 07:00:00,2018-01-09 09:00:00,2018-01-09 10:00:00,561.0
2018-01-09 07:00:00,2018-01-09 08:00:00,2018-01-09 10:00:00,2018-01-09 11:00:00,545.0
2018-01-09 08:00:00,2018-01-09 09:00:00,2018-01-09 11:00:00,2018-01-09 12:00:00,523.0
2018-01-09 09:00:00,2018-01-09 10:00:00,2018-01-09 12:00:00,2018-01-09 13:00:00,538.0
2018-01-09 10:00:00,2018-01-09 11:00:00,2018-01-09 13:00:00,2018-01-09 14:00:00,548.0
2018-01-09 11:00:00,2018-01-09 12:00:00,2018-01-09 14:00:00,2018-01-09 15:00:00,528.0
2018-01-09 12:00:00,2018-01-09 13:00:00,2018-01-09 15:00:00,2018-01-09 16:00:00,577.0
2018-01-09 13:00:00,2018-01-09 14:00:00,2018-01-09 16:00:00,2018-01-09 17:00:00,578.0
2018-01-09 14:00:00,2018-01-09 15:00:00,2018-01-09 17:00:00,2018-01-09 18:00:00,512.0
2018-01-09 15:00:00,2018-01-09 16:00:00,2018-01-09 18:00:00,2018-01-09 19:00:00,394.0
2018-01-09 16:00:00,2018-01-09 17:00:00,2018-01-09 19:00:00,2018-01-09 20:00:00,333.0
2018-01-09 17:00:00,2018-01-09 18:00:00,2018-01-09 20:00:00,2018-01-09 21:00:00,284.0
2018-01-09 18:00:00,2018-01-09 19:00:00,2018-01-09 21:00:00,2018-01-09 22:00:00,254.0
2018-01-09 19:00:00,2018-01-09 20:00:00,2018-01-09 22:00:00,2018-01-09 23:00:00,253.0
2018-01-09 20:00:00,2018-01-09 21:00:00,2018-01-09 23:00:00,2018-01-10 00:00:00,244.0
2018-01-09 21:00:00,2018-01-09 22:00:00,2018-01-10 00:00:00,2018-01-10 01:00:00,277.0
2018-01-09 22:00:00,2018-01-09 23:00:00,2018-01-10 01:00:00,2018-01-10 02:00:00,316.0
2018-01-09 23:00:00,2018-01-10 00:00:00,2018-01-10 02:00:00,2018-01-10 03:00:00,321.0
2018-01-10 00:00:00,2018-01-10 01:00:00,2018-01-10 03:00:00,2018-01-10 04:00:00,331.0
2018-01-10 01:00:00,2018-01-10 02:00:00,2018-01-10 04:00:00,2018-01-10 05:00:00,297.0
2018-01-10 02:00:00,2018-01-10 03:00:00,2018-01-10 05:00:00,2018-01-10 06:00:00,224.0
2018-01-10 03:00:00,2018-01-10 04:00:00,2018-01-10 06:00:00,2018-01-10 07:00:00,203.0
2018-01-10 04:00:00,2018-01-10 05:00:00,2018-01-10 07:00:00,2018-01-10 08:00:00,186.0
2018-01-10 05:00:00,2018-01-10 06:00:00,2018-01-10 08:00:00,2018-01-10 09:00:00,172.0
2018-01-10 06:00:00,2018-01-10 07:00:00,2018-01-10 09:00:00,2018-01-10 10:00:00,153.0
2018-01-10 07:00:00,2018-01-10 08:00:00,2018-01-10 10:00:00,2018-01-10 11:00:00,117.0
2018-01-10 08:00:00,2018-01-10 09:00:00,2018-01-10 11:00:00,2018-01-10 12:00:00,86.0
2018-01-10 09:00:00,2018-01-10 10:00:00,2018-01-10 12:00:00,2018-01-10 13:00:00,83.0
2018-01-10 10:00:00,2018-01-10 11:00:00,2018-01-10 13:00:00,2018-01-10 14:00:00,108.0
2018-01-10 11:00:00,2018-01-10 12:00:00,2018-01-10 14:00:00,2018-01-10 15:00:00,101.0
2018-01-10 12:00:00,2018-01-10 13:00:00,2018-01-10 15:00:00,2018-01-10 16:00:00,62.0
2018-01-10 13:00:00,2018-01-10 14:00:00,2018-01-10 16:00:00,2018-01-10 17:00:00,62.0
2018-01-10 14:00:00,2018-01-10 15:00:00,2018-01-10 17:00:00,2018-01-10 18:00:00,61.0
