Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2018-01-04 08:00:00,2018-01-04 09:00:00,2018-01-04 11:00:00,2018-01-04 12:00:00,34.97
2018-01-04 09:00:00,2018-01-04 10:00:00,2018-01-04 12:00:00,2018-01-04 13:00:00,37.55
2018-01-04 10:00:00,2018-01-04 11:00:00,2018-01-04 13:00:00,2018-01-04 14:00:00,36.02
2018-01-04 11:00:00,2018-01-04 12:00:00,2018-01-04 14:00:00,2018-01-04 15:00:00,35.53
2018-01-04 12:00:00,2018-01-04 13:00:00,2018-01-04 15:00:00,2018-01-04 16:00:00,35.3
2018-01-04 13:00:00,2018-01-04 14:00:00,2018-01-04 16:00:00,2018-01-04 17:00:00,35.83
2018-01-04 14:00:00,2018-01-04 15:00:00,2018-01-04 17:00:00,2018-01-04 18:00:00,37.83
2018-01-04 15:00:00,2018-01-04 16:00:00,2018-01-04 18:00:00,2018-01-04 19:00:00,39.03
2018-01-04 16:00:00,2018-01-04 17:00:00,2018-01-04 19:00:00,2018-01-04 20:00:00,37.91
2018-01-04 17:00:00,2018-01-04 18:00:00,2018-01-04 20:00:00,2018-01-04 21:00:00,35.03
2018-01-04 18:00:00,2018-01-04 19:00:00,2018-01-04 21:00:00,2018-01-04 22:00:00,31.87
2018-01-04 19:00:00,2018-01-04 20:00:00,2018-01-04 22:00:00,2018-01-04 23:00:00,30.78
2018-01-04 20:00:00,2018-01-04 21:00:00,2018-01-04 23:00:00,2018-01-05 00:00:00,30.27
2018-01-04 21:00:00,2018-01-04 22:00:00,2018-01-05 00:00:00,2018-01-05 01:00:00,29.63
2018-01-04 22:00:00,2018-01-04 23:00:00,2018-01-05 01:00:00,2018-01-05 02:00:00,24.63
2018-01-04 23:00:00,2018-01-05 00:00:00,2018-01-05 02:00:00,2018-01-05 03:00:00,27.38
2018-01-05 00:00:00,2018-01-05 01:00:00,2018-01-05 03:00:00,2018-01-05 04:00:00,26.93
2018-01-05 01:00:00,2018-01-05 02:00:00,2018-01-05 04:00:00,2018-01-05 05:00:00,26.5
2018-01-05 02:00:00,2018-01-05 03:00:00,2018-01-05 05:00:00,2018-01-05 06:00:00,26.5
2018-01-05 03:00:00,2018-01-05 04:00:00,2018-01-05 06:00:00,2018-01-05 07:00:00,24.59
2018-01-05 04:00:00,2018-01-05 05:00:00,2018-01-05 07:00:00,2018-01-05 08:00:00,23.56
2018-01-05 05:00:00,2018-01-05 06:00:00,2018-01-05 08:00:00,2018-01-05 09:00:00,23.56
2018-01-05 06:00:00,2018-01-05 07:00:00,2018-01-05 09:00:00,2018-01-05 10:00:00,26.46
2018-01-05 07:00:00,2018-01-05 08:00:00,2018-01-05 10:00:00,2018-01-05 11:00:00,27.0
2018-01-05 08:00:00,2018-01-05 09:00:00,2018-01-05 11:00:00,2018-01-05 12:00:00,27.0
2018-01-05 09:00:00,2018-01-05 10:00:00,2018-01-05 12:00:00,2018-01-05 13:00:00,28.2
2018-01-05 10:00:00,2018-01-05 11:00:00,2018-01-05 13:00:00,2018-01-05 14:00:00,32.98
2018-01-05 11:00:00,2018-01-05 12:00:00,2018-01-05 14:00:00,2018-01-05 15:00:00,32.88
